VALUE,COUNT,LU_CODEV7N,LU_CODEV7,TERTIARY_V7,SECONDARY_V7,PRIMARY_V7,CLASSES_18,C18_DESCRIPTION,TOPO_FEATURES,TOPO_FEAT_DESC,CLUM_DATA,CLUM_DATA_DESC,PROT_AREAS,PROT_AREAS_DESC,WH_AREAS,WH_AREAS_DESC,TENURE,TENURE_DESC,FOREST_TYPE,FOREST_TYPE_DESC,VEG_CONDITION,VEG_COND_DESC,COMMODITIES,COMMODITIES_DESC,IRRIGATION,IRRIGATION_DESC
461,386,210,2.1.0,2.1.0 Grazing native vegetation,2.1 Grazing native vegetation,2 Production from relatively natural environments,4,Grazing native vegetation (2.1),0,Not a topographic feature,113,1.1.3 National park,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,2,Grazing - largely of woodland and open forest,0,"Dryland agriculture, not ag. or no data"
462,14,650,6.5.0,6.5.0 Marsh/wetland,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,113,1.1.3 National park,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
463,2,111,1.1.1,1.1.1 Strict nature reserves,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,11,Ia. Strict nature reserve,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
464,1,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
465,29,650,6.5.0,6.5.0 Marsh/wetland,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,630,6.3.0 River,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
466,7,650,6.5.0,6.5.0 Marsh/wetland,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
467,21,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,660,6.6.0 Estuary/coastal waters,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
468,5950,543,5.4.3,5.4.3 Rural residential without agriculture,5.4 Residential and farm infrastructure,5 Intensive uses,14,"Rural residential and farm infrastructure (5.4.2, 5.4.3, 5.4.4, 5.4.5)",0,Not a topographic feature,543,5.4.3 Rural residential without agriculture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
469,732653,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,210,2.1.0 Grazing native vegetation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
470,1,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,115,1.1.5 Habitat/species management area,11,Ia. Strict nature reserve,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
471,2,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,651,6.5.1 Marsh/wetland - conservation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
472,8,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,210,2.1.0 Grazing native vegetation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
473,30,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,113,1.1.3 National park,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
474,157,113,1.1.3,1.1.3 National park,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,113,1.1.3 National park,20,II. National park,0,IUCN management category unassigned or not a WHA,10,Public land - other,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
475,17,565,5.6.5,"5.6.5 Gas treatment, storage and transmission",5.6 Utilities,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,565,"5.6.5 Gas treatment, storage and transmission",0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
476,4374,130,1.3.0,1.3.0 Other minimal use,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,320,3.2.0 Grazing modified pastures,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
477,16,574,5.7.4,5.7.4 Ports and water transport,5.7 Transport and communication,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,574,5.7.4 Ports and water transport,0,Not a protected area,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
478,85,320,3.2.0,3.2.0 Grazing modified pastures,3.2 Grazing modified pastures,3 Production from dryland agriculture and plantations,7,Grazing modified pastures (3.2),0,Not a topographic feature,360,3.6.0 Land in transition,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,1,Grazing - native or naturalised pasture or native-exotic pasture mosaic,0,"Dryland agriculture, not ag. or no data"
479,1,111,1.1.1,1.1.1 Strict nature reserves,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,115,1.1.5 Habitat/species management area,11,Ia. Strict nature reserve,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
480,7,111,1.1.1,1.1.1 Strict nature reserves,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,111,1.1.1 Strict nature reserves,11,Ia. Strict nature reserve,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
481,2,610,6.1.0,6.1.0 Lake,6.1 Lake,6 Water,17,Water (6.0),2,Lake - non-perennial,210,2.1.0 Grazing native vegetation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
482,102,650,6.5.0,6.5.0 Marsh/wetland,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,652,6.5.2 Marsh/wetland - production,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
483,88,650,6.5.0,6.5.0 Marsh/wetland,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,210,2.1.0 Grazing native vegetation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
484,1,611,6.1.1,6.1.1 Lake - conservation,6.1 Lake,6 Water,17,Water (6.0),1,Lake - perennial,125,1.2.5 Traditional indigenous uses,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
485,2,611,6.1.1,6.1.1 Lake - conservation,6.1 Lake,6 Water,17,Water (6.0),1,Lake - perennial,125,1.2.5 Traditional indigenous uses,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,9,Aboriginal land - traditional indigenous uses,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
486,1,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,660,6.6.0 Estuary/coastal waters,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
487,10,333,3.3.3,3.3.3 Hay and silage,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,441,4.4.1 Irrigated tree fruits,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,13,Pastures and crops for hay and silage,0,"Dryland agriculture, not ag. or no data"
488,1,111,1.1.1,1.1.1 Strict nature reserves,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,11,Ia. Strict nature reserve,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
489,3,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,113,1.1.3 National park,20,II. National park,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
490,1643,543,5.4.3,5.4.3 Rural residential without agriculture,5.4 Residential and farm infrastructure,5 Intensive uses,14,"Rural residential and farm infrastructure (5.4.2, 5.4.3, 5.4.4, 5.4.5)",0,Not a topographic feature,543,5.4.3 Rural residential without agriculture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
491,452,543,5.4.3,5.4.3 Rural residential without agriculture,5.4 Residential and farm infrastructure,5 Intensive uses,14,"Rural residential and farm infrastructure (5.4.2, 5.4.3, 5.4.4, 5.4.5)",0,Not a topographic feature,543,5.4.3 Rural residential without agriculture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
492,99,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,650,6.5.0 Marsh/wetland,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
493,4,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,111,1.1.1 Strict nature reserves,11,Ia. Strict nature reserve,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
494,2,111,1.1.1,1.1.1 Strict nature reserves,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,11,Ia. Strict nature reserve,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
495,2,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
496,4,650,6.5.0,6.5.0 Marsh/wetland,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,651,6.5.1 Marsh/wetland - conservation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
497,870,117,1.1.7,1.1.7 Other conserved area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,113,1.1.3 National park,0,Not a protected area,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
498,2,341,3.4.1,3.4.1 Tree fruits,3.4 Perennial horticulture,3 Production from dryland agriculture and plantations,9,"Dryland horticulture (3.4, 3.5)",0,Not a topographic feature,441,4.4.1 Irrigated tree fruits,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,21,Tropical stone fruit,0,"Dryland agriculture, not ag. or no data"
499,97,320,3.2.0,3.2.0 Grazing modified pastures,3.2 Grazing modified pastures,3 Production from dryland agriculture and plantations,7,Grazing modified pastures (3.2),0,Not a topographic feature,441,4.4.1 Irrigated tree fruits,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,3,Grazing sown pastures,0,"Dryland agriculture, not ag. or no data"
500,124,320,3.2.0,3.2.0 Grazing modified pastures,3.2 Grazing modified pastures,3 Production from dryland agriculture and plantations,7,Grazing modified pastures (3.2),0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,3,Grazing sown pastures,0,"Dryland agriculture, not ag. or no data"
501,66,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,111,1.1.1 Strict nature reserves,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
502,70,320,3.2.0,3.2.0 Grazing modified pastures,3.2 Grazing modified pastures,3 Production from dryland agriculture and plantations,7,Grazing modified pastures (3.2),0,Not a topographic feature,450,4.5.0 Irrigated seasonal horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,3,Grazing sown pastures,0,"Dryland agriculture, not ag. or no data"
503,14,441,4.4.1,4.4.1 Irrigated tree fruits,4.4 Irrigated perennial horticulture,4 Production from irrigated agriculture and plantations,12,"Irrigated horticulture (4.4, 4.5)",0,Not a topographic feature,440,4.4.0 Irrigated perennial horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,21,Tropical stone fruit,1,Irrigated agriculture
504,3,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,651,6.5.1 Marsh/wetland - conservation,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
505,93,526,5.2.6,5.2.6 Aquaculture,5.2 Intensive animal husbandry,5 Intensive uses,13,"Intensive animal and plant production (5.1, 5.2)",0,Not a topographic feature,526,5.2.6 Aquaculture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
506,7,661,6.6.1,6.6.1 Estuary/coastal waters - conservation,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),7,Saline coastal flat,124,1.2.4 Landscape,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
507,3,333,3.3.3,3.3.3 Hay and silage,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,360,3.6.0 Land in transition,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,13,Pastures and crops for hay and silage,0,"Dryland agriculture, not ag. or no data"
508,79,111,1.1.1,1.1.1 Strict nature reserves,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,111,1.1.1 Strict nature reserves,11,Ia. Strict nature reserve,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
509,6,441,4.4.1,4.4.1 Irrigated tree fruits,4.4 Irrigated perennial horticulture,4 Production from irrigated agriculture and plantations,12,"Irrigated horticulture (4.4, 4.5)",0,Not a topographic feature,450,4.5.0 Irrigated seasonal horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,21,Tropical stone fruit,1,Irrigated agriculture
510,645,120,1.2.0,1.2.0 Managed resource protection,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,124,1.2.4 Landscape,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
511,2,620,6.2.0,6.2.0 Reservoir/dam,6.2 Reservoir/dam,6 Water,17,Water (6.0),8,Reservoir,651,6.5.1 Marsh/wetland - conservation,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
512,25,441,4.4.1,4.4.1 Irrigated tree fruits,4.4 Irrigated perennial horticulture,4 Production from irrigated agriculture and plantations,12,"Irrigated horticulture (4.4, 4.5)",0,Not a topographic feature,441,4.4.1 Irrigated tree fruits,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,21,Tropical stone fruit,1,Irrigated agriculture
513,1,661,6.6.1,6.6.1 Estuary/coastal waters - conservation,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),7,Saline coastal flat,124,1.2.4 Landscape,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
514,2,661,6.6.1,6.6.1 Estuary/coastal waters - conservation,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),7,Saline coastal flat,116,1.1.6 Protected landscape,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
515,1,630,6.3.0,6.3.0 River,6.3 River,6 Water,17,Water (6.0),3,Watercourse - perennial,630,6.3.0 River,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
516,124,116,1.1.6,1.1.6 Protected landscape,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,130,1.3.0 Other minimal use,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
517,1,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,100,1.0.0 Conservation and natural environments,0,Not a protected area,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
518,4,661,6.6.1,6.6.1 Estuary/coastal waters - conservation,6.6 Estuary/coastal waters,6 Water,17,Water (6.0),7,Saline coastal flat,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
519,4,440,4.4.0,4.4.0 Irrigated perennial horticulture,4.4 Irrigated perennial horticulture,4 Production from irrigated agriculture and plantations,12,"Irrigated horticulture (4.4, 4.5)",0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,24,Plantation fruit,1,Irrigated agriculture
520,6,441,4.4.1,4.4.1 Irrigated tree fruits,4.4 Irrigated perennial horticulture,4 Production from irrigated agriculture and plantations,12,"Irrigated horticulture (4.4, 4.5)",0,Not a topographic feature,133,1.3.3 Residual native cover,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,21,Tropical stone fruit,1,Irrigated agriculture
521,8,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,580,5.8.0 Mining,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
522,5,116,1.1.6,1.1.6 Protected landscape,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
523,2,650,6.5.0,6.5.0 Marsh/wetland,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,321,3.2.1 Native/exotic pasture mosaic,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
524,1626,116,1.1.6,1.1.6 Protected landscape,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,130,1.3.0 Other minimal use,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
525,31,116,1.1.6,1.1.6 Protected landscape,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,130,1.3.0 Other minimal use,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
526,12,116,1.1.6,1.1.6 Protected landscape,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,116,1.1.6 Protected landscape,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,10,Public land - other,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
527,24,320,3.2.0,3.2.0 Grazing modified pastures,3.2 Grazing modified pastures,3 Production from dryland agriculture and plantations,7,Grazing modified pastures (3.2),0,Not a topographic feature,441,4.4.1 Irrigated tree fruits,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,1,Grazing - native or naturalised pasture or native-exotic pasture mosaic,0,"Dryland agriculture, not ag. or no data"
528,23,120,1.2.0,1.2.0 Managed resource protection,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
529,2,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,651,6.5.1 Marsh/wetland - conservation,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
530,8,116,1.1.6,1.1.6 Protected landscape,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,116,1.1.6 Protected landscape,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,10,Public land - other,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
531,27,116,1.1.6,1.1.6 Protected landscape,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,116,1.1.6 Protected landscape,50,V. Protected landscape/seascape,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
532,18,554,5.5.4,5.5.4 Defence facilities - urban,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,554,5.5.4 Defence facilities - urban,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
533,10,120,1.2.0,1.2.0 Managed resource protection,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
